track_id,class_id,class_name,mean_confidence,frame_count,first_frame,last_frame,first_timestamp,last_timestamp,first_centroid_x,first_centroid_y,last_centroid_x,last_centroid_y,avg_speed_kmh,max_speed_kmh,speed_estimated
18,2,car,0.5059916786919392,533,0,532,0.0,17.733333333333334,749.1807861328125,611.4013671875,752.3103332519531,624.8841857910156,0.4214796288216532,0.7355694493038722,True
19,2,car,0.7468883978875346,241,0,240,0.0,8.0,952.3602905273438,508.38690185546875,741.4927978515625,1064.7072143554688,13.495846701851725,39.05082619805892,True
20,2,car,0.6782636326706543,269,0,269,0.0,8.966666666666667,1002.541748046875,508.55670166015625,1275.2050170898438,1032.6451416015625,,,False
21,2,car,0.5027714004970733,525,0,532,0.0,17.733333333333334,719.275390625,634.88671875,723.9963073730469,647.7522277832031,0.4651736378660927,0.8517489491040589,True
22,2,car,0.4923080996956144,175,0,174,0.0,5.8,1074.01318359375,512.652587890625,1281.3302612304688,563.0378723144531,,,False
23,2,car,0.47794526765979295,211,0,211,0.0,7.033333333333333,1037.1268310546875,506.6983642578125,1281.964599609375,570.7043151855469,,,False
24,2,car,0.7060538748259185,93,0,92,0.0,3.066666666666667,1136.4730224609375,570.8104248046875,1281.5890502929688,769.9317321777344,,,False
29,2,car,0.7204577951856396,272,42,318,1.4,10.6,996.5956115722656,501.8855438232422,1278.6890258789062,995.5621337890625,,,False
31,2,car,0.6620603521403513,228,48,275,1.6,9.166666666666666,943.47900390625,513.1154174804688,805.1241455078125,1066.0728149414062,13.970930082415991,37.3257889530384,True
32,2,car,0.7080819040313642,267,53,332,1.7666666666666666,11.066666666666666,935.0562744140625,500.90736389160156,694.3014221191406,1062.1605224609375,,,False
41,2,car,0.6579931677211055,181,72,252,2.4,8.4,1034.6825561523438,516.1449737548828,1280.994873046875,581.4701232910156,,,False
42,2,car,0.6438508073434882,368,73,440,2.433333333333333,14.666666666666666,947.6040344238281,489.6388397216797,685.94580078125,943.1271057128906,,,False
43,2,car,0.5757942045573146,320,76,395,2.533333333333333,13.166666666666666,1031.1031188964844,499.35638427734375,1284.5764770507812,595.0405883789062,,,False
45,2,car,0.5286239737868309,250,80,329,2.6666666666666665,10.966666666666667,1060.856201171875,504.8778381347656,1279.7486572265625,580.2591857910156,,,False
51,2,car,0.7040556998682671,294,111,405,3.7,13.5,1002.6714477539062,501.70530700683594,1280.8744506835938,980.8809814453125,,,False
53,2,car,0.7139248227427056,286,124,413,4.133333333333334,13.766666666666667,848.6244506835938,533.7748718261719,944.5797729492188,1063.5317993164062,10.47608809756468,28.19256171398067,True
55,2,car,0.6600932136812904,399,127,525,4.233333333333333,17.5,954.29833984375,481.7999725341797,727.5552368164062,1058.0044555664062,8.085748204033953,23.37482178355863,True
58,2,car,0.5228176453629055,185,130,377,4.333333333333333,12.566666666666666,1063.3910522460938,502.8544158935547,1279.136962890625,577.4148254394531,,,False
61,2,car,0.7154614211881862,340,134,486,4.466666666666667,16.2,974.2613830566406,497.6942596435547,1124.0675659179688,1068.629150390625,8.915828426576178,26.56498332626738,True
64,2,car,0.29279727959591484,288,136,532,4.533333333333333,17.733333333333334,813.6162719726562,567.8043518066406,819.7472534179688,578.236328125,,,False
71,2,car,0.7152063101115,359,170,528,5.666666666666667,17.6,1007.0757141113281,496.93951416015625,1279.1815795898438,953.8499145507812,,,False
76,2,car,0.5250306876573695,217,195,426,6.5,14.2,1065.095703125,506.97474670410156,1274.6442260742188,567.09912109375,,,False
83,2,car,0.6446868307315387,221,220,440,7.333333333333333,14.666666666666666,1044.366455078125,513.5938873291016,1282.315673828125,580.4951477050781,,,False
92,2,car,0.6219749568192751,298,235,532,7.833333333333333,17.733333333333334,1006.8526000976562,503.29443359375,1110.4633178710938,674.6015930175781,3.7321340921110693,8.88993849778952,True
93,2,car,0.6873638647592674,295,238,532,7.933333333333334,17.733333333333334,1035.8335571289062,508.7716522216797,1204.0685424804688,671.101806640625,3.9443458097447066,9.060112292796436,True
99,2,car,0.5435040361988239,234,248,481,8.266666666666667,16.033333333333335,1066.4449462890625,510.54888916015625,1283.3743286132812,572.1106567382812,,,False
